Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
4.66,PlayerRed,0.009063721,-0.09742737,-0.01014981,3.089194,(0.0, 0.1),0,0,0,0,0
4.68,PlayerRed,0.009063721,-0.09742737,-0.01030478,3.090746,(0.0, 0.1),0,0,0,0,0
4.7,PlayerRed,-0.05317688,-1.146088,-0.01045885,3.092299,(0.0, 0.1),0,0,0,0,0
4.72,PlayerRed,-0.05317688,-1.146088,-0.01052156,3.095377,(0.0, 0.2),0,0,0,0,0
4.74,PlayerRed,-0.05317688,-1.146088,-0.01050122,3.099843,(0.0, 0.2),0,0,0,0,0
4.76,PlayerRed,-0.05317688,-1.146088,-0.01040539,3.10557,(0.0, 0.3),0,0,0,0,0
4.78,PlayerRed,-0.05317688,-1.146088,-0.01024091,3.112443,(0.0, 0.3),0,0,0,0,0
4.8,PlayerRed,-0.05317688,-1.146088,-0.01001405,3.120358,(0.0, 0.4),0,0,0,0,0
4.82,PlayerRed,-0.05317688,-1.146088,-0.009730454,3.129221,(0.0, 0.4),0,0,0,0,0
4.84,PlayerRed,-0.05317688,-1.146088,-0.009395294,3.138945,(0.0, 0.5),0,0,0,0,0
4.86,PlayerRed,-0.05317688,-1.146088,-0.009013255,3.149452,(0.0, 0.5),0,0,0,0,0
4.88,PlayerRed,-0.05317688,-1.146088,-0.008588599,3.160671,(0.0, 0.6),0,0,0,0,0
4.9,PlayerRed,-0.05317688,-1.146088,-0.0081252,3.172537,(0.0, 0.6),0,0,0,0,0
4.92,PlayerRed,-0.05317688,-1.146088,-0.00762658,3.184992,(0.0, 0.6),0,0,0,0,0
4.94,PlayerRed,-0.05317688,-1.146088,-0.007095941,3.197981,(0.0, 0.6),0,0,0,0,0
4.96,PlayerRed,-0.05317688,-1.146088,-0.006536194,3.211456,(0.0, 0.7),0,0,0,0,0
4.98,PlayerRed,-0.05317688,-1.146088,-0.005949985,3.225374,(0.0, 0.7),0,0,0,0,0
5,PlayerRed,-0.05317688,-1.146088,-0.005339719,3.239693,(0.0, 0.7),0,0,0,0,0
5.02,PlayerRed,-0.05317688,-1.146088,-0.004707584,3.254377,(0.0, 0.7),0,0,0,0,0
5.04,PlayerRed,0.01385498,0.0151062,-0.004055567,3.269394,(0.0, 0.8),0,0,0,0,0
5.06,PlayerRed,0.01385498,0.0151062,-0.003482977,3.283023,(0.0, 0.7),0,0,0,0,0
5.08,PlayerRed,0.01385498,0.0151062,-0.002982594,3.295392,(0.0, 0.6),0,0,0,0,0
5.1,PlayerRed,0.01385498,0.0151062,-0.002547853,3.306614,(0.0, 0.6),0,0,0,0,0
5.12,PlayerRed,0.01385498,0.0151062,-0.002172786,3.316794,(0.0, 0.5),0,0,0,0,0
5.14,PlayerRed,0.01385498,0.0151062,-0.001851969,3.326026,(0.0, 0.5),0,0,0,0,0
5.16,PlayerRed,0.01385498,0.0151062,-0.00158047,3.334398,(0.0, 0.4),0,0,0,0,0
5.18,PlayerRed,0.01385498,0.0151062,-0.001353806,3.341986,(0.0, 0.4),0,0,0,0,0
5.2,PlayerRed,0.01385498,0.0151062,-0.0011679,3.348862,(0.0, 0.3),0,0,0,0,0
5.22,PlayerRed,0.01266479,-0.07946777,-0.001019047,3.355092,(0.0, 0.3),0,0,0,0,0
5.24,PlayerRed,0.01266479,-0.07946777,-0.0009021481,3.36087,(0.0, 0.3),0,0,0,0,0
5.26,PlayerRed,0.01266479,-0.07946777,-0.0008142976,3.366239,(0.0, 0.3),0,0,0,0,0
5.28,PlayerRed,0.01266479,-0.07946777,-0.0007528552,3.371235,(0.0, 0.2),0,0,0,0,0
